4.819543936	90.2	0.11	76.2	11.99610657	0	0	4.441433835
5.491361694	97	0.19	71.3	11.99609869	0	0	4.402758925
4.69019608	94.4	0.27	86.9	11.99609869	0	0	4.432874313
4.079181246	92.9	0.24	83.3	11.99609225	0	0	4.353638972
5.819543936	71.3	0.18	82.2	11.99828029	4.536554412	0	4.966663107
6.431363764	86.1	0.15	84.2	11.99827638	4.546220392	0	5.311538879
4.544068044	88.3	0.06	72.4	11.99827086	3.235837487	0	5.160464641
5.322219295	95.1	0.05	67.5	11.99826889	2.382221523	0	5.211113046
6.397940009	89.4	0.05	64.2	11.99826889	2.319575374	0	5.248108467
4.342422681	83.7	0.09	89.4	11.99826572	0	0	5.264725209
5.851258349	84.3	0.1	84.7	11.99827031	0	0	4.8767099
7.397940009	94.6	0.07	88.4	11.99826707	0	0	5.0153327
4.278753601	93.9	0.19	74	11.99826549	0	0	5.054177755
6.86923172	148.4	0.07	64.4	11.99608132	0	1	5.018504336
6.397940009	130	0.08	67.7	11.99607433	0	1	5.065602653
4.919078092	155.1	0.16	63.7	11.99607433	0	1	5.098660705
4.491361694	93.1	0.06	65.7	11.98820571	0	1	5.155184799
6.672097858	90.8	0.08	63.4	11.99606897	0	1	5.137321394
5.698970004	95.1	0.19	63.1	11.999	0	0	3.302059308
5.204119983	79	0.23	78.3	11.99827441	7.241992099	1	4.687049068
4.662757832	115.5	0.27	60.6	11.98822997	13.95685521	1	5.226879136
8.531478917	120.6	0.1	67	11.98821663	13.3521326	1	5.249955226
8.041392685	90.5	0.21	85.7	11.98820571	12.86913271	1	5.264725209
6.278753601	78.8	0.08	73.5	11.98822637	13.95254299	1	4.977809214
6.662757832	93.9	0.17	77.6	11.9882137	13.37540365	1	5.021172479
6.431363764	86.1	0.08	73.9	11.98820328	12.91607666	1	5.054177755
5.113943352	91.1	0.23	72.5	11.98822995	14.67582668	1	5.096013413
8.556302501	88.6	0.21	88.4	11.98821662	14.09481072	1	5.130388623
6.531478917	118.5	0.41	75.5	11.9882057	13.63159324	1	5.155184799
4.633468456	108.5	0.09	63.1	11.999	12.21698563	1	3.371950576
5.230448921	66.9	0.28	74.9	11.999	16.05114442	1	4.157251531
5.322219295	75.1	0.08	63.9	11.999	6.071613052	0	2.984853326
4.792391689	92.3	0.36	77.3	11.999	6.04036757	0	2.97668879
5.591064607	57.3	0.16	64.4	11.999	5.915053026	0	2.984559864
4.748188027	100.3	0.4	59.7	11.999	5.907928114	0	3.000132921
5.204119983	75.9	0.06	82.7	11.999	5.803522214	0	2.985070221
